Run Fondo;serie;fecha;periodo;rent_acumulada
9291;APV;2023-05-09;6M;0.0464
9291;APV;2023-05-09;1Y;0.0959
9291;APV;2023-05-09;YTD;0.0326
9291;APV;2023-05-10;1M;0.0030
9291;APV;2023-05-10;3M;0.0176
9291;APV;2023-05-10;6M;0.0455
9291;APV;2023-05-10;1Y;0.0956
9291;APV;2023-05-10;YTD;0.0326
9291;APV;2023-05-11;1M;0.0030
9291;APV;2023-05-11;3M;0.0173
9291;APV;2023-05-11;6M;0.0454
9291;APV;2023-05-11;1Y;0.0942
9291;APV;2023-05-11;YTD;0.0326
9291;APV;2023-05-12;1M;0.0033
9291;APV;2023-05-12;3M;0.0172
9291;APV;2023-05-12;6M;0.0453
9291;APV;2023-05-12;1Y;0.0953
9291;APV;2023-05-12;YTD;0.0328
9291;APV;2023-05-13;1M;0.0038
9291;APV;2023-05-13;3M;0.0173
9291;APV;2023-05-13;6M;0.0453
9291;APV;2023-05-13;1Y;0.0954
9291;APV;2023-05-13;YTD;0.0331
9291;APV;2023-05-14;1M;0.0042
9291;APV;2023-05-14;3M;0.0172
9291;APV;2023-05-14;6M;0.0439
9291;APV;2023-05-14;1Y;0.0953
9291;APV;2023-05-14;YTD;0.0334
9291;APV;2023-05-15;1M;0.0038
9291;APV;2023-05-15;3M;0.0169
9291;APV;2023-05-15;6M;0.0432
9291;APV;2023-05-15;1Y;0.0949
9291;APV;2023-05-15;YTD;0.0334
9291;APV;2023-05-16;1M;0.0037
9291;APV;2023-05-16;3M;0.0169
9291;APV;2023-05-16;6M;0.0424
9291;APV;2023-05-16;1Y;0.0942
9291;APV;2023-05-16;YTD;0.0337
9291;APV;2023-05-17;1M;0.0038
9291;APV;2023-05-17;3M;0.0163
9291;APV;2023-05-17;6M;0.0421
9291;APV;2023-05-17;1Y;0.0930
9291;APV;2023-05-17;YTD;0.0338
9291;APV;2023-05-18;1M;0.0039
9291;APV;2023-05-18;3M;0.0161
9291;APV;2023-05-18;6M;0.0424
9291;APV;2023-05-18;1Y;0.0933
9291;APV;2023-05-18;YTD;0.0340
9291;APV;2023-05-19;1M;0.0038
9291;APV;2023-05-19;3M;0.0157
9291;APV;2023-05-19;6M;0.0419
9291;APV;2023-05-19;1Y;0.0920
9291;APV;2023-05-19;YTD;0.0338
9291;APV;2023-05-20;1M;0.0041
9291;APV;2023-05-20;3M;0.0157
9291;APV;2023-05-20;6M;0.0419
9291;APV;2023-05-20;1Y;0.0925
9291;APV;2023-05-20;YTD;0.0342
9291;APV;2023-05-21;1M;0.0042
9291;APV;2023-05-21;3M;0.0155
9291;APV;2023-05-21;6M;0.0417
9291;APV;2023-05-21;1Y;0.0924
9291;APV;2023-05-21;YTD;0.0345
9291;APV;2023-05-22;1M;0.0041
9291;APV;2023-05-22;3M;0.0155
9291;APV;2023-05-22;6M;0.0421
9291;APV;2023-05-22;1Y;0.0923
9291;APV;2023-05-22;YTD;0.0348
9291;APV;2023-05-23;1M;0.0036
9291;APV;2023-05-23;3M;0.0152
9291;APV;2023-05-23;6M;0.0423
9291;APV;2023-05-23;1Y;0.0920
9291;APV;2023-05-23;YTD;0.0347
9291;APV;2023-05-24;1M;0.0040
9291;APV;2023-05-24;3M;0.0144
9291;APV;2023-05-24;6M;0.0430
9291;APV;2023-05-24;1Y;0.0913
9291;APV;2023-05-24;YTD;0.0347
9291;APV;2023-05-25;1M;0.0036
9291;APV;2023-05-25;3M;0.0141
9291;APV;2023-05-25;6M;0.0431
9291;APV;2023-05-25;1Y;0.0911
9291;APV;2023-05-25;YTD;0.0347
9291;APV;2023-05-26;1M;0.0035
9291;APV;2023-05-26;3M;0.0139
9291;APV;2023-05-26;6M;0.0429
9291;APV;2023-05-26;1Y;0.0912
9291;APV;2023-05-26;YTD;0.0348
9291;APV;2023-05-27;1M;0.0037
9291;APV;2023-05-27;3M;0.0136
9291;APV;2023-05-27;6M;0.0429
9291;APV;2023-05-27;1Y;0.0908
9291;APV;2023-05-27;YTD;0.0351
9291;APV;2023-05-28;1M;0.0038
9291;APV;2023-05-28;3M;0.0136
9291;APV;2023-05-28;6M;0.0433
9291;APV;2023-05-28;1Y;0.0907
9291;APV;2023-05-28;YTD;0.0354
9291;APV;2023-05-29;1M;0.0037
9291;APV;2023-05-29;3M;0.0139
9291;APV;2023-05-29;6M;0.0431
9291;APV;2023-05-29;1Y;0.0906
9291;APV;2023-05-29;YTD;0.0357
9291;APV;2023-05-30;1M;0.0036
9291;APV;2023-05-30;3M;0.0142
9291;APV;2023-05-30;6M;0.0438
9291;APV;2023-05-30;1Y;0.0915
9291;APV;2023-05-30;YTD;0.0360
9291;APV;2023-05-31;1M;0.0041
9291;APV;2023-05-31;3M;0.0147
9291;APV;2023-05-31;6M;0.0443
9291;APV;2023-05-31;1Y;0.0913
9291;APV;2023-05-31;YTD;0.0365
9291;APV;2023-06-01;1M;0.0044
9291;APV;2023-06-01;3M;0.0153
9291;APV;2023-06-01;6M;0.0445
9291;APV;2023-06-01;1Y;0.0917
9291;APV;2023-06-01;YTD;0.0373
9291;APV;2023-06-02;1M;0.0055
9291;APV;2023-06-02;3M;0.0158
9291;APV;2023-06-02;6M;0.0453
9291;APV;2023-06-02;1Y;0.0921
9291;APV;2023-06-02;YTD;0.0380
9291;APV;2023-06-03;1M;0.0057
9291;APV;2023-06-03;3M;0.0158
9291;APV;2023-06-03;6M;0.0453
9291;APV;2023-06-03;1Y;0.0918
9291;APV;2023-06-03;YTD;0.0383
9291;APV;2023-06-04;1M;0.0063
9291;APV;2023-06-04;3M;0.0157
9291;APV;2023-06-04;6M;0.0453
9291;APV;2023-06-04;1Y;0.0917
9291;APV;2023-06-04;YTD;0.0386
9291;APV;2023-06-05;1M;0.0066
9291;APV;2023-06-05;3M;0.0157
9291;APV;2023-06-05;6M;0.0459
9291;APV;2023-06-05;1Y;0.0917
9291;APV;2023-06-05;YTD;0.0390
9291;APV;2023-06-06;1M;0.0061
9291;APV;2023-06-06;3M;0.0155
9291;APV;2023-06-06;6M;0.0462
9291;APV;2023-06-06;1Y;0.0916
9291;APV;2023-06-06;YTD;0.0389
9291;APV;2023-06-07;1M;0.0063
9291;APV;2023-06-07;3M;0.0157
9291;APV;2023-06-07;6M;0.0450
